n_explored,partial,trajectory,1,2
1,False,"(1,)",0.4061750809009445,0.5938249190990554
1,False,"(1, 1)",0.4292801227578365,0.5707198772421636
1,False,"(1, 1, 1)",0.46983777332788024,0.5301622266721199
2,False,"(1, 2)",0.40131615069815163,0.5986838493018484
2,False,"(1, 1, 2)",0.5785477150151197,0.42145228498488035
2,False,"(1, 2, 1)",0.19926560819442182,0.8007343918055781
2,False,"(1, 2, 2)",0.3594383007885294,0.6405616992114705
1,True,"(1, 1, 1)",0.46983777332788024,0.5301622266721199
2,True,"(1, 1, 1)",0.4681308911639101,0.53186910883609
2,True,"(1, 1, 2)",0.5785477150151197,0.42145228498488035
2,True,"(1, 2, 1)",0.19926560819442182,0.8007343918055781
2,True,"(1, 2, 2)",0.3594383007885294,0.6405616992114705
2,True,"(2, 1, 1)",0.4855580834019734,0.5144419165980266
2,True,"(2, 1, 2)",0.45777487225441094,0.5422251277455891
2,True,"(2, 2, 1)",0.7177238143082558,0.2822761856917442
2,True,"(2, 2, 2)",0.5386415879634481,0.4613584120365518
